time,wx,wy,wz
0.005056858062744141,-0.19,-0.03,0.06
0.005681037902832031,-0.19,-0.03,0.06
0.008296012878417969,-0.11,0.06,0.04
0.017215967178344727,-0.05,0.01,0.02
0.02696704864501953,-0.01,-0.09,0.02
0.03710603713989258,-0.0,-0.15,0.02
0.04731607437133789,-0.03,-0.12,0.02
0.05715298652648926,-0.07,-0.05,0.0
0.06727194786071777,-0.06,0.03,-0.03
0.07701396942138672,-0.03,0.04,-0.08
0.10299205780029297,0.01,0.0,-0.06
0.10484886169433594,0.01,0.0,-0.06
0.10649299621582031,-0.0,0.01,-0.03
0.11641311645507812,-0.02,0.01,0.0
0.12621092796325684,-0.04,-0.0,0.0
0.13640880584716797,-0.06,-0.03,-0.01
0.14643192291259766,-0.07,-0.04,-0.02
0.15637898445129395,-0.07,-0.04,-0.01
0.1668109893798828,-0.06,-0.02,-0.0
0.1798110008239746,-0.05,0.0,0.01
0.1996169090270996,-0.01,0.01,0.01
0.20147299766540527,-0.01,0.01,0.01
0.20562195777893066,-0.01,0.01,-0.01
0.21557283401489258,-0.0,0.02,-0.01
0.22542905807495117,-0.01,0.03,-0.01
0.2354719638824463,-0.02,0.01,-0.0
0.2456209659576416,-0.04,-0.02,0.01
0.2555971145629883,-0.07,-0.03,0.02
0.26566100120544434,-0.08,-0.03,0.04
0.2756180763244629,-0.07,-0.01,0.05
0.3008849620819092,-0.03,0.01,0.04
0.3027060031890869,-0.03,0.01,0.04
0.3048558235168457,-0.03,-0.01,0.01
0.3147721290588379,-0.04,-0.0,-0.02
0.3246798515319824,-0.06,0.01,-0.03
0.334867000579834,-0.08,0.02,-0.04
0.3449699878692627,-0.08,0.01,-0.02
0.3548150062561035,-0.07,-0.0,0.0
0.3648838996887207,-0.05,-0.01,0.02
0.3750448226928711,-0.01,-0.01,0.04
0.40013694763183594,0.06,0.01,0.0
0.4019608497619629,0.06,0.01,0.0
0.40401697158813477,0.05,0.02,-0.02
0.4143180847167969,0.02,0.03,-0.03
0.4238269329071045,-0.01,0.03,-0.02
0.4341239929199219,-0.03,0.04,-0.01
0.44414186477661133,-0.04,0.04,0.03
0.4544668197631836,-0.03,0.01,0.04
0.4641118049621582,-0.02,-0.01,0.03
0.4739689826965332,-0.02,-0.0,0.02
0.4854090213775635,-0.03,0.02,-0.0
0.5065240859985352,-0.08,0.06,-0.04
0.5070891380310059,-0.08,0.06,-0.04
0.5132598876953125,-0.1,0.08,-0.03
0.5230820178985596,-0.08,0.08,0.0
0.5332980155944824,-0.04,0.09,0.03
0.5435080528259277,0.02,0.08,0.03
0.5532670021057129,0.08,0.04,0.02
0.5632858276367188,0.11,-0.0,0.01
0.5732278823852539,0.12,-0.04,0.0
0.5839900970458984,0.1,-0.05,0.01
0.6053149700164795,0.03,0.01,0.01
0.6059060096740723,0.03,0.01,0.01
0.6124238967895508,-0.01,0.07,0.0
0.6223049163818359,-0.05,0.1,-0.0
0.6324620246887207,-0.07,0.09,-0.02
0.642305850982666,-0.08,0.04,-0.04
0.6524629592895508,-0.08,0.01,-0.04
0.6625618934631348,-0.06,-0.0,-0.02
0.6723589897155762,-0.04,-0.01,0.01
0.6828861236572266,-0.02,0.01,0.04
0.7086629867553711,-0.01,0.03,0.06
0.7092528343200684,-0.01,0.03,0.06
0.7116661071777344,-0.02,0.0,0.05
0.7215328216552734,0.01,0.02,0.05
0.731630802154541,0.06,0.11,0.06
0.7415149211883545,0.12,0.19,0.05
0.7517380714416504,0.15,0.21,0.03
0.7616989612579346,0.13,0.16,-0.01
0.7716269493103027,0.09,0.1,-0.04
0.7820799350738525,0.06,0.05,-0.05
0.8048901557922363,0.05,0.04,0.08
0.8054909706115723,0.05,0.04,0.08
0.8108921051025391,0.06,0.05,0.16
0.8208818435668945,0.05,0.05,0.23
0.8311071395874023,0.07,0.05,0.29
0.8409910202026367,0.09,0.02,0.31
0.850916862487793,0.13,-0.02,0.32
0.8609991073608398,0.17,-0.09,0.3
0.870884895324707,0.22,-0.09,0.25
0.8809938430786133,0.27,-0.03,0.16
0.906919002532959,0.39,0.23,-0.1
0.9086999893188477,0.39,0.23,-0.1
0.9103388786315918,0.44,0.39,-0.22
0.9200170040130615,0.47,0.52,-0.29
0.9299440383911133,0.5,0.61,-0.26
0.9399638175964355,0.51,0.69,-0.18
0.9505081176757812,0.52,0.75,-0.09
0.9600830078125,0.55,0.77,-0.0
0.970073938369751,0.59,0.81,0.04
0.9800190925598145,0.65,0.87,0.04
1.0033750534057617,0.8,0.74,-0.0
1.0052008628845215,0.8,0.74,-0.0
1.009315013885498,0.84,0.55,-0.03
1.0193729400634766,0.9,0.41,-0.04
1.0293049812316895,0.97,0.38,-0.04
1.0394649505615234,1.05,0.4,-0.03
1.0494370460510254,1.14,0.41,-0.01
1.059464931488037,1.21,0.39,0.02
1.0692980289459229,1.26,0.35,0.03
1.079514980316162,1.28,0.27,0.02
1.0898971557617188,1.27,0.12,-0.0
1.1078691482543945,1.23,-0.05,-0.06
1.1092138290405273,1.18,-0.19,-0.11
1.1185550689697266,1.13,-0.27,-0.15
1.1284470558166504,1.07,-0.29,-0.17
1.1384000778198242,0.97,-0.25,-0.16
1.1486411094665527,0.86,-0.19,-0.13
1.158440113067627,0.72,-0.13,-0.11
1.1686320304870605,0.57,-0.1,-0.1
1.1785798072814941,0.4,-0.11,-0.1
1.203847885131836,0.12,-0.23,-0.05
1.2056999206542969,0.12,-0.23,-0.05
1.2077279090881348,0.05,-0.3,-0.01
1.217702865600586,0.01,-0.35,0.02
1.227721929550171,0.03,-0.3,0.05
1.2379131317138672,0.09,-0.18,0.07
1.2478199005126953,0.17,-0.05,0.07
1.2578468322753906,0.24,0.01,0.04
1.267777919769287,0.25,-0.01,0.0
1.2777979373931885,0.19,-0.12,-0.03
1.2898359298706055,0.06,-0.24,-0.05
1.3108279705047607,-0.35,-0.38,-0.06
1.3114128112792969,-0.35,-0.38,-0.06
1.3169541358947754,-0.55,-0.41,-0.05
1.3268089294433594,-0.7,-0.39,-0.04
1.3368840217590332,-0.8,-0.38,-0.02
1.347080945968628,-0.85,-0.37,0.0
1.3569278717041016,-0.85,-0.32,0.04
1.3670148849487305,-0.84,-0.26,0.07
1.3768749237060547,-0.83,-0.22,0.12
1.3874788284301758,-0.79,-0.2,0.18
1.409487009048462,-0.71,-0.23,0.32
1.410094976425171,-0.71,-0.23,0.32
1.4162249565124512,-0.71,-0.25,0.35
1.4259920120239258,-0.73,-0.26,0.33
1.436100959777832,-0.75,-0.28,0.28
1.4464969635009766,-0.75,-0.29,0.22
1.4562220573425293,-0.7,-0.26,0.18
1.4662399291992188,-0.62,-0.18,0.18
1.476099967956543,-0.52,-0.1,0.22
1.487565040588379,-0.48,-0.07,0.27
1.5121588706970215,-0.62,-0.14,0.19
1.5139660835266113,-0.62,-0.14,0.19
1.5156259536743164,-0.71,-0.16,0.11
1.5252130031585693,-0.79,-0.17,0.04
1.5353779792785645,-0.83,-0.21,0.02
1.5453109741210938,-0.82,-0.24,0.04
1.555452823638916,-0.77,-0.22,0.08
1.5653319358825684,-0.7,-0.18,0.15
1.5753288269042969,-0.63,-0.14,0.2
