Daniel Kwak push up,,,,
time,wx,wy,wz,
1.00759220123291,0.33,-0.01,0.55,
1.01772022247314,0.46,0.07,0.46,
1.02748012542725,0.62,0.21,0.37,
1.03735303878784,0.8,0.27,0.27,
1.04747533798218,0.96,0.23,0.2,
1.06544923782349,0.99,0.12,0.14,
1.06791734695435,0.94,-0.05,0.17,
1.07689523696899,0.9,-0.28,0.34,
1.08686113357544,0.99,-0.53,0.51,
1.09685516357422,1.22,-0.76,0.67,
1.10711908340454,1.4,-0.91,0.83,
1.11677718162537,1.47,-0.94,0.98,
1.12676215171814,1.34,-0.79,1.12,
1.13653922080994,1.18,-0.42,1.29,
1.14695024490356,1.22,0.05,1.41,
1.16459321975708,1.41,0.38,1.43,
1.16698312759399,1.67,0.5,1.39,
1.17623901367188,1.71,0.4,1.33,
1.18613624572754,1.53,0.27,1.36,
1.19630908966064,1.33,0.37,1.48,
1.20607113838196,1.28,0.84,1.5,
1.21595430374146,1.37,1.59,1.36,
1.22604513168335,1.45,2.18,1.04,
1.23606419563293,1.37,2.24,0.62,
1.24598121643066,1.14,1.75,0.31,
1.26229906082153,1.01,0.92,0.22,
1.26553416252136,1.03,0.02,0.25,
1.27530217170715,1.24,-0.73,0.28,
1.28541016578674,1.22,-1.17,0.17,
1.29536533355713,1.03,-1.21,0,
1.30521512031555,0.85,-1.06,-0.04,
1.31524705886841,0.76,-0.83,0.08,
1.32562017440796,0.63,-0.68,0.29,
1.33511519432068,0.49,-0.64,0.51,
1.34522318840027,0.33,-0.6,0.76,
1.36150121688843,0.2,-0.47,0.98,
1.36462116241455,0.09,-0.22,1.05,
1.37464022636414,0.09,0.23,1.05,
1.38463115692139,0.09,0.95,1.07,
1.39463329315186,0.12,1.73,1.01,
1.40445613861084,0.1,2.37,0.75,
1.41472005844116,-0.04,2.58,0.38,
1.42446708679199,-0.25,2.07,0.13,
1.4342360496521,-0.49,0.9,0.07,
1.44489121437073,-0.62,-0.53,0.13,
1.4592342376709,-0.57,-1.66,0.16,
1.46400713920593,-0.31,-2.05,0.07,
1.47394227981567,-0.09,-1.55,-0.16,
1.48407220840454,-0.02,-0.47,-0.53,
1.49392223358154,-0.15,0.63,-0.77,
1.50405812263489,-0.3,1.09,-0.7,
1.51374626159668,-0.43,0.71,-0.47,
1.5237512588501,-0.51,-0.28,-0.14,
1.53354406356812,-0.46,-1.31,0.17,
1.544358253479,-0.28,-1.73,0.34,
1.55856609344482,-0.04,-1.17,0.33,
1.56335115432739,0.05,0.27,0.18,
1.57329320907593,0.07,2.03,-0.11,
1.58324003219605,0.04,3.07,-0.41,
1.59343814849854,0.01,2.97,-0.54,
1.60403633117676,-0.03,1.83,-0.48,
1.61316919326782,-0.07,0.2,-0.31,
1.6231381893158,-0.09,-1.18,-0.18,
1.63299918174744,-0.02,-1.78,-0.2,
1.64303731918335,0.1,-1.54,-0.29,
1.65389823913574,0.14,-0.73,-0.43,
1.67128610610962,0.14,0.16,-0.61,
1.67325115203857,0,0.76,-0.61,
1.68281722068787,-0.08,0.81,-0.37,
1.69233226776123,-0.11,0.45,-0.07,
1.70240926742554,-0.1,-0.04,0.14,
1.71250629425049,-0.06,-0.38,0.27,
1.72236919403076,-0.04,-0.34,0.34,
1.73218631744385,-0.09,0.03,0.34,
1.74234223365784,-0.12,0.45,0.24,
1.75342130661011,-0.11,0.67,0.15,
1.76914715766907,-0.04,0.59,0.1,
1.77195024490356,0.05,0.37,0.08,
1.78173303604126,0.14,0.16,0.07,
1.7917160987854,0.23,0.08,0.04,
1.80163431167603,0.28,0.06,-0.05,
1.81150722503662,0.24,-0.05,-0.13,
