time,wx,wy,wz
1.0085392,0.41,2.52,0.38
1.019546032,0.47,2.4,0.51
1.028521061,0.57,2.12,0.63
1.039093018,0.67,1.87,0.72
1.04927516,0.74,1.77,0.77
1.060952187,0.59,1.93,0.57
1.070155144,0.68,1.98,0.12
1.086001158,0.7,1.87,-0.04
1.088893175,0.43,1.79,0.09
1.099448204,0.23,1.73,0.2
1.108525276,0.19,1.74,0.17
1.118850231,0.19,1.84,0.13
1.128277302,0.19,1.86,0.13
1.138336182,0.08,1.73,0.25
1.148461103,-0.15,1.56,0.44
1.159265995,-0.34,1.49,0.51
1.168943167,-0.31,1.5,0.39
1.18646431,-0.06,1.03,0.38
1.188984156,-0.43,0.83,0.56
1.199554205,-0.31,0.82,0.88
1.208319187,-0.17,1,0.92
1.219407082,0.01,1.46,0.83
1.228344202,0.26,1.76,0.88
1.238170147,0.49,1.52,1
1.248877048,0.58,0.94,1.11
1.260251999,0.62,0.2,1.28
1.269737244,0.46,-0.42,1.39
1.285136223,0.31,-0.13,1.39
1.288992167,0.23,0.17,1.23
1.299034119,0.14,0.36,1.1
1.307723045,0.04,0.36,0.97
1.31887722,-0.07,0.27,0.89
1.328141212,-0.17,0.45,0.81
1.337885141,-0.26,0.77,0.75
1.348074198,-0.32,1.09,0.72
1.359052181,-0.27,1.11,0.68
1.368406296,-0.18,0.56,0.54
1.383474112,-0.13,-0.12,0.33
1.388488293,-0.12,-0.4,0.06
1.39882803,-0.01,-0.05,-0.13
1.408090115,0.09,0.46,-0.15
1.418914318,0.11,0.57,-0.04
1.427888155,0.08,0.32,0.08
1.438282013,0.12,-0.13,0.14
1.448490143,0.16,-0.44,0.12
1.459726095,0.1,-0.32,0.01
1.469458103,-0.01,0.08,-0.08
1.485566139,-0.16,0.47,-0.03
1.488143206,-0.31,0.45,0.2
1.49872303,-0.4,0.13,0.5
1.507655144,-0.34,-0.08,0.71
1.518748283,-0.17,-0.06,0.82
1.527747154,-0.01,0.04,0.79
1.537403107,0.06,0.04,0.59
1.548404217,0,-0.16,0.3
1.559826136,-0.14,0.3,0.24
1.568898201,-0.24,1,0.3
1.584663153,-0.32,1.02,0.47
1.587542057,-0.34,0.41,0.51
1.598679066,-0.23,-0.5,0.29
1.607584,-0.14,-1.07,0
1.618625164,0,-0.45,-0.2
1.627557278,0.28,0.49,-0.24
1.637611151,0.48,0.63,-0.08
1.647226095,0.47,-0.15,0.11
1.659646034,0.37,-1.12,0.01
1.668717146,0.31,-1.31,-0.23
1.684876204,0.3,-0.22,-0.4
1.687114239,0.38,0.64,-0.54
1.698562145,0.45,0.53,-0.56
1.707112312,0.42,-0.09,-0.44
1.718152046,0.46,-0.65,-0.29
1.727455139,0.5,-0.56,-0.26
1.737122059,0.5,-0.44,-0.3
1.748088121,0.43,-0.28,-0.38
1.75915432,0.35,-0.3,-0.53
1.768465996,0.28,-0.12,-0.49
1.783922195,0.44,0.07,-0.38
1.787064075,0.65,-0.19,-0.28
1.798077106,0.77,-0.47,-0.14
1.807276249,0.78,-0.67,-0.22
1.81836915,0.67,-0.39,-0.3
1.827200174,0.59,-0.23,-0.35
1.836935997,0.51,-0.2,-0.21
1.847040176,0.5,-0.18,-0.03
1.85940814,0.49,-0.15,0.07
1.868665218,0.45,-0.25,0.07
1.884872198,0.49,-0.13,0
1.887765169,0.58,-0.19,-0.04
1.897931099,0.6,-0.33,0.06
1.906735182,0.65,-0.4,0.1
1.917622089,0.69,-0.66,0.12
1.92646718,0.69,-0.47,0.15
1.936756134,0.72,-0.27,0.02
1.947653294,0.71,-0.14,-0.1
1.959194183,0.69,-0.12,-0.09
1.967184067,0.77,-0.17,-0.09
1.984065056,0.93,-0.42,-0.06
1.988211155,0.99,-0.46,0
1.997744083,1.06,-0.42,-0.05
2.006883144,0.95,-0.41,-0.11
2.017741203,0.73,-0.2,-0.16
2.02704215,0.59,-0.13,-0.24
2.036846161,0.53,0,-0.29
2.046624184,0.56,-0.01,-0.29
2.059041977,0.65,-0.05,-0.24
2.068113089,0.73,-0.05,-0.15
2.083104134,0.73,0,-0.07
2.087086201,0.61,0.08,-0.01
2.097849131,0.45,0.14,0.05
2.106394291,0.28,0.19,0.15
2.117355108,0.21,0.22,0.24
2.126651287,0.25,0.15,0.32
2.137297153,0.24,0.13,0.35
2.147162199,0.16,0.1,0.25
2.158802032,0.01,0.06,0.15
2.167715073,-0.21,0.18,0.07
2.18338418,-0.37,0.47,0.02
2.187075138,-0.33,0.45,0.12
2.197840214,-0.19,0.2,0.29
2.206520081,-0.15,0.08,0.38
2.217347145,-0.14,-0.03,0.34
2.226771116,-0.16,-0.04,0.33
2.236191273,-0.22,-0.01,0.37
2.246420145,-0.27,0.12,0.31
2.25814414,-0.27,0.3,0.26
2.267976284,-0.18,0.39,0.25
2.284358025,-0.07,0.34,0.28
2.28709507,0.02,0.23,0.35
2.297206163,0.11,0.09,0.38
2.306253195,0.19,-0.05,0.44
2.316727161,0.19,-0.12,0.51
2.326051235,0.14,-0.02,0.47
2.336028099,0.04,0.24,0.41
2.346729279,-0.02,0.35,0.37
2.358236313,0.01,0.41,0.38
2.366746187,0.07,0.32,0.42
2.382670164,0.11,0.2,0.54
2.386718273,0.14,0.1,0.61
2.397630215,0.06,0.16,0.67
2.40580225,-0.12,0.4,0.61
2.41712904,-0.27,0.52,0.48
2.425930023,-0.31,0.5,0.42
2.43608427,-0.16,0.3,0.47
2.446000099,0.01,0.1,0.59
2.457703114,0.01,-0.05,0.71
2.467597008,-0.19,0.01,0.69
2.483005047,-0.52,0.23,0.58
2.485570192,-0.83,0.36,0.38
2.496821165,-0.98,0.4,0.22
2.505489111,-0.95,0.44,0.14
2.516566277,-0.82,0.44,0.22
2.525730133,-0.67,0.31,0.38
2.535855293,-0.63,0.04,0.57
2.546406269,-0.74,-0.21,0.72
2.557734013,-0.89,-0.17,0.69
2.566503048,-1.06,0.09,0.58
2.582036972,-1.17,0.39,0.44
2.586284161,-1.19,0.65,0.34
2.596833229,-1.21,0.81,0.33
2.605602264,-1.18,0.81,0.39
2.616196156,-1.18,0.73,0.5
2.625837326,-1.22,0.55,0.65
2.636472225,-1.29,0.37,0.83
2.646243095,-1.34,0.36,0.95
2.657836199,-1.43,0.46,1.03
2.666975021,-1.55,0.7,1.06
2.683084011,-1.63,0.94,1.09
2.686115265,-1.68,1.1,1.14
2.696668148,-1.69,1.18,1.23
2.70524931,-1.66,1.13,1.38
2.716174126,-1.58,0.97,1.59
2.72548008,-1.4,0.7,1.82
2.735303164,-1.12,0.41,2.01
2.746107101,-0.81,0,1.99
2.757592201,-0.57,-0.27,1.76
2.766870975,-0.46,-0.16,1.41
2.782912254,-0.35,0.2,0.98
2.785395145,-0.36,0.59,0.51
2.796329021,-0.37,0.83,0.1
2.805487156,-0.36,0.83,-0.18
2.816473007,-0.39,0.52,-0.17
2.825229168,-0.38,0.12,0.04
2.835465193,-0.35,-0.3,0.28
2.845282078,-0.29,-0.5,0.39
2.857619286,-0.26,-0.33,0.3
2.866482258,-0.16,0.05,0.07
2.882564068,-0.07,0.39,-0.18
2.885240078,-0.05,0.42,-0.31
2.896034241,-0.03,0.12,-0.33
2.904859066,0.02,-0.29,-0.34
2.91617918,0.17,-0.55,-0.42
2.925340176,0.33,-0.52,-0.56
2.934894085,0.51,-0.32,-0.68
2.945073128,0.66,-0.15,-0.8
2.956207275,0.76,-0.14,-0.93
2.966052055,0.83,-0.25,-1.07
2.98141098,0.88,-0.49,-1.2
2.985516071,0.99,-0.65,-1.34
2.995890141,1.12,-0.63,-1.51
3.0049541,1.15,-0.48,-1.57
3.015729189,1.2,-0.41,-1.56
3.024856091,1.24,-0.5,-1.49
3.035780191,1.23,-0.62,-1.32
3.04524231,1.13,-0.7,-1.02
3.056660175,1.17,-0.7,-0.86
3.066624165,1.16,-0.68,-0.75
3.083057165,1.09,-0.65,-0.57
3.085787296,1.03,-0.58,-0.49
3.095826149,0.99,-0.48,-0.44
3.104739189,0.94,-0.57,-0.4
3.115658283,0.96,-0.91,-0.43
3.12460804,1,-1.1,-0.59
3.134669304,1.06,-1,-0.8
3.145477295,1.16,-0.5,-0.93
3.156640053,1.2,0.03,-0.98
3.165962219,1.15,0.01,-0.88
3.181034088,1,-0.48,-0.75
3.185204983,0.87,-1.06,-0.69
3.195818186,0.69,-1.09,-0.8
3.204327106,0.7,-0.86,-1.08
3.21592617,0.46,-0.23,-1.32
3.224231243,0.33,0.67,-1.35
3.234713078,0.27,0.93,-1.15
3.245172977,0.14,0.33,-0.8
3.256414175,0.1,-0.36,-0.61
3.266086102,0.02,-0.77,-0.59
3.282127142,-0.1,-0.48,-0.62
3.284649134,-0.04,-0.1,-0.79
3.295554161,-0.02,0.22,-0.91
3.304103136,0.28,0.38,-0.96
3.315019131,0.51,0.22,-0.92
3.32428503,0.61,0,-0.63
3.334218025,0.6,-0.11,-0.35
3.344120026,0.58,-0.38,-0.25
3.35545826,0.56,-0.47,-0.22
3.365548134,0.63,-0.45,-0.28
3.381679058,0.61,-0.2,-0.3
