time,wx,wy,wz
1.005480051,-0.4,0.45,-0.44
1.015758038,-0.57,0.52,-0.6
1.041557074,-0.37,0.23,-0.75
1.042366028,-0.37,0.23,-0.75
1.046613932,-0.01,0.06,-0.6
1.055368185,0.17,0.17,-0.51
1.065982103,0.17,0.39,-0.51
1.075302839,0.06,0.51,-0.52
1.085343122,0.03,0.54,-0.42
1.09523201,0.11,0.63,-0.25
1.105500937,0.17,0.79,-0.16
1.116044044,0.31,0.86,-0.23
1.141485929,0.54,0.61,-0.58
1.141998053,0.54,0.61,-0.58
1.145921946,0.46,0.39,-0.65
1.155463934,0.33,0.09,-0.63
1.165756941,0.18,-0.25,-0.54
1.175237894,0.2,-0.49,-0.38
1.18530798,0.35,-0.47,-0.15
1.19533515,0.42,-0.39,0.08
1.205701113,0.32,-0.44,0.23
1.215716124,0.1,-0.6,0.27
1.243079901,-0.13,-0.76,-0.01
1.243654966,-0.13,-0.76,-0.01
1.246929884,-0.23,-0.66,-0.15
1.255294085,-0.35,-0.44,-0.2
1.265322924,-0.42,-0.11,-0.19
1.275156021,-0.47,0.23,-0.16
1.285331011,-0.49,0.47,-0.17
1.295204878,-0.5,0.63,-0.24
1.305407047,-0.51,0.74,-0.32
1.317602873,-0.53,0.77,-0.37
1.339946985,-0.72,0.56,-0.35
1.34047389,-0.72,0.56,-0.35
1.345332861,-0.71,0.34,-0.29
1.355198145,-0.75,0.04,-0.25
1.365462065,-0.72,-0.28,-0.29
1.375076056,-0.67,-0.57,-0.35
1.385207891,-0.75,-0.76,-0.37
1.395212889,-0.74,-0.85,-0.35
1.405348063,-0.71,-0.89,-0.28
1.415405989,-0.68,-0.9,-0.16
1.439665079,-0.42,-0.74,0.08
1.440232038,-0.42,-0.74,0.08
1.445254087,-0.17,-0.6,0.18
1.455221891,-0.09,-0.45,0.26
1.465337038,0.08,-0.25,0.3
1.475350142,0.48,-0.07,0.32
1.485175848,0.6,0.05,0.32
1.495168924,0.53,0.15,0.28
1.505578041,0.56,0.19,0.19
1.51544404,0.53,0.03,0.17
1.54103303,0.43,-0.93,0.37
1.541590929,0.43,-0.93,0.37
1.545491934,0.42,-1.42,0.41
1.555220842,0.36,-1.76,0.47
1.56545186,0.32,-1.88,0.53
1.574990034,0.26,-1.79,0.62
1.585299969,0.15,-1.63,0.72
1.595118046,0.08,-1.47,0.83
1.605545044,-0.09,-1.25,0.86
1.615355015,-0.28,-0.97,0.72
1.644272089,-0.18,-0.28,0.07
1.644842863,-0.18,-0.28,0.07
1.647610903,-0.1,-0.02,-0.08
1.655045986,-0.16,0.2,-0.14
1.665472031,-0.2,0.4,-0.15
1.674983025,-0.19,0.54,-0.11
1.685075998,-0.2,0.64,-0.04
