time,wx,wy,wz
1.004022121,-0.44,0.12,0.19
1.013687134,-0.6,-0.55,0.3
1.023235083,-0.58,-1.15,0.27
1.034037113,-0.52,-1.32,0.25
1.043119907,-0.46,-1.07,0.22
1.053855896,-0.39,-0.6,0.19
1.075599194,-0.18,0.04,0.17
1.07607317,-0.18,0.04,0.17
1.082743168,-0.18,0.1,0.2
1.092483044,-0.26,0.06,0.24
1.102632046,-0.36,-0.05,0.29
1.112457037,-0.42,-0.2,0.32
1.122536182,-0.46,-0.31,0.32
1.132799149,-0.51,-0.32,0.3
1.142454147,-0.57,-0.22,0.26
1.153496027,-0.59,-0.1,0.21
1.17508316,-0.61,0.06,0.17
1.175497055,-0.61,0.06,0.17
1.182571888,-0.63,0.04,0.18
1.191736221,-0.66,-0.06,0.2
1.202370167,-0.69,-0.21,0.22
1.211764097,-0.73,-0.38,0.22
1.222422123,-0.77,-0.51,0.21
1.232019901,-0.78,-0.55,0.18
1.241377115,-0.78,-0.44,0.13
1.252873898,-0.75,-0.2,0.1
1.279199123,-0.65,0.36,0.07
1.279807091,-0.65,0.36,0.07
1.283954144,-0.6,0.54,0.08
1.291471958,-0.56,0.63,0.09
1.30132103,-0.56,0.64,0.1
1.311130047,-0.6,0.62,0.1
1.320693016,-0.64,0.57,0.1
1.330578089,-0.68,0.5,0.09
1.340723038,-0.71,0.44,0.08
1.350583076,-0.72,0.41,0.06
1.368088007,-0.71,0.4,0.04
1.370351076,-0.68,0.4,0.01
1.380373955,-0.64,0.41,-0.01
1.390326023,-0.57,0.4,-0.01
1.400780201,-0.48,0.42,0
1.41042614,-0.4,0.48,0
1.420118093,-0.32,0.58,0.01
1.429869175,-0.25,0.73,0.01
1.439922094,-0.19,0.9,0.01
1.449945927,-0.13,1.04,-0.02
1.467725039,-0.07,1.14,-0.03
1.470137119,-0.01,1.16,-0.04
1.479643106,0.04,1.12,-0.04
1.489854097,0.07,1.04,-0.03
1.500017166,0.1,0.93,-0.03
1.509398937,0.13,0.84,-0.03
1.519607067,0.15,0.78,-0.03
1.529455185,0.17,0.74,-0.03
1.539258003,0.19,0.71,-0.05
1.549206018,0.2,0.69,-0.07
1.571378231,0.22,0.61,-0.07
1.571932077,0.22,0.61,-0.07
1.579988003,0.23,0.54,-0.06
1.589718103,0.23,0.47,-0.04
1.60160017,0.19,0.41,-0.02
1.61116004,0.14,0.34,0.01
1.620632172,0.15,0.23,0
1.630774021,0.2,0.07,-0.01
1.640407085,0.19,-0.06,0.01
1.650500059,0.16,-0.19,0.05
1.678222179,-0.01,-0.4,0.21
1.679909229,-0.01,-0.4,0.21
1.682830095,-0.01,-0.4,0.21
1.689007998,-0.03,-0.41,0.2
1.699917078,-0.07,-0.33,0.18
1.708606005,-0.13,-0.22,0.15
1.719989061,-0.15,-0.17,0.12
1.730364084,-0.18,-0.1,0.1
1.739793062,-0.23,0.01,0.12
1.74991703,-0.29,0.1,0.15
1.765954018,-0.35,0.15,0.19
1.781472206,-0.5,0.08,0.27
1.781881094,-0.5,0.08,0.27
1.788122177,-0.59,0.01,0.32
1.801767111,-0.68,-0.06,0.36
1.80846405,-0.75,-0.1,0.39
1.81887722,-0.82,-0.06,0.41
1.828675032,-0.88,0.03,0.44
1.838212013,-0.93,0.1,0.5
1.848474979,-0.94,0.11,0.56
1.863784075,-0.94,0.04,0.62
1.875061035,-0.96,-0.08,0.64
1.878660202,-1,-0.23,0.62
1.887650013,-1.03,-0.4,0.6
1.899474144,-1.04,-0.53,0.59
1.906995058,-0.98,-0.61,0.59
1.91722393,-0.92,-0.57,0.61
1.927470207,-0.9,-0.43,0.62
1.937744141,-0.91,-0.22,0.61
1.947988033,-0.97,-0.02,0.59
