time,wx,wy,wz
0.008240222930908203,0.01,0.16,0.08
0.017608165740966797,0.01,0.11,0.04
0.045777082443237305,-0.03,-0.15,-0.0
0.04591798782348633,-0.03,-0.15,-0.0
0.04741811752319336,-0.03,-0.2,-0.01
0.0577082633972168,-0.0,-0.1,-0.01
0.06747102737426758,0.01,0.05,-0.01
0.07780909538269043,0.02,0.13,-0.0
0.08888411521911621,0.02,0.17,0.01
0.09872913360595703,0.02,0.14,0.0
0.1091761589050293,0.03,0.07,-0.0
0.11983394622802734,0.05,0.04,-0.01
0.15285205841064453,0.08,0.0,-0.01
0.15298700332641602,0.08,0.0,-0.01
0.15311002731323242,0.08,0.0,-0.01
0.1577000617980957,0.09,0.04,-0.01
0.16776323318481445,0.1,0.09,-0.01
0.1795060634613037,0.09,0.13,-0.01
0.18936395645141602,0.07,0.12,0.01
0.19902420043945312,0.04,0.09,0.02
0.20964622497558594,0.03,0.07,0.06
0.21909618377685547,0.03,0.05,0.08
0.23239707946777344,0.04,0.09,0.1
0.2543182373046875,0.02,0.12,0.12
0.25445103645324707,0.02,0.12,0.12
0.25756120681762695,0.02,0.11,0.12
0.26792192459106445,0.02,0.1,0.11
0.27813720703125,0.04,0.1,0.1
0.28949904441833496,0.05,0.06,0.1
0.2990379333496094,0.05,0.0,0.11
0.30954909324645996,0.02,0.0,0.12
0.31995511054992676,-0.01,0.06,0.15
0.3519020080566406,-0.02,0.12,0.19
0.3520331382751465,-0.02,0.12,0.19
0.35214996337890625,-0.02,0.12,0.19
0.3578052520751953,-0.01,0.09,0.2
0.3679640293121338,-0.0,0.07,0.21
0.3794291019439697,0.01,0.04,0.22
0.3894970417022705,0.02,0.02,0.24
0.3995981216430664,0.01,-0.01,0.27
0.40934014320373535,-0.01,-0.02,0.31
0.4200291633605957,-0.02,0.04,0.33
0.45032596588134766,0.05,0.24,0.29
0.45046091079711914,0.05,0.24,0.29
0.4505772590637207,0.05,0.24,0.29
0.4581289291381836,0.08,0.19,0.26
0.4682612419128418,0.1,0.11,0.24
0.4793820381164551,0.1,-0.01,0.26
0.489483118057251,0.1,-0.11,0.28
0.4998910427093506,0.11,-0.08,0.32
0.5097510814666748,0.14,-0.01,0.36
0.5201930999755859,0.18,0.04,0.39
0.5532169342041016,0.25,-0.05,0.41
0.5533509254455566,0.25,-0.05,0.41
0.553469181060791,0.25,-0.05,0.41
0.5577912330627441,0.25,-0.24,0.41
0.5681991577148438,0.27,-0.27,0.39
0.579535961151123,0.29,-0.18,0.39
0.5898489952087402,0.32,-0.17,0.4
0.5997481346130371,0.39,-0.16,0.36
0.6095180511474609,0.52,-0.14,0.29
0.620692253112793,0.72,-0.13,0.19
0.6512832641601562,1.0,-0.37,0.12
0.6514160633087158,1.0,-0.37,0.12
0.6515369415283203,1.0,-0.37,0.12
0.657879114151001,1.0,-0.72,0.21
0.6683011054992676,1.03,-0.99,0.27
0.679995059967041,1.11,-0.91,0.31
0.6900129318237305,1.15,-0.53,0.33
