"time","wx","wy","wz"
1.0025620460510254,-0.8,1.04,0.54
1.008423089981079,-0.84,1.37,0.52
1.017897129058838,-0.8,1.32,0.54
1.0278582572937012,-0.73,0.9,0.56
1.0380501747131348,-0.63,0.24,0.5
1.048370122909546,-0.56,-0.09,0.36
1.0584380626678467,-0.58,-0.07,0.18
1.0685482025146484,-0.6,0.12,0.01
1.0785789489746094,-0.59,0.24,-0.09
1.0940752029418945,-0.56,0.15,-0.03
1.1006760597229004,-0.52,0.03,0.13
1.1086182594299316,-0.54,-0.01,0.32
1.1182570457458496,-0.63,0.02,0.44
1.1284732818603516,-0.63,0.07,0.36
1.1388120651245117,-0.63,0.16,0.19
1.148787021636963,-0.71,0.21,0.04
1.1590430736541748,-0.73,0.04,-0.05
1.1690781116485596,-0.66,-0.16,-0.06
1.1790642738342285,-0.58,-0.27,0.0
1.1956472396850586,-0.52,-0.17,0.13
1.2014069557189941,-0.47,0.04,0.25
1.2090470790863037,-0.49,0.26,0.37
1.2188310623168945,-0.46,0.31,0.44
1.228888988494873,-0.39,0.26,0.43
1.2389941215515137,-0.32,0.19,0.34
1.2490861415863037,-0.27,0.11,0.18
1.259458065032959,-0.22,0.1,-0.02
1.2695751190185547,-0.15,0.06,-0.2
1.2795801162719727,-0.08,0.06,-0.28
1.295125961303711,-0.02,0.07,-0.2
1.3026800155639648,0.04,-0.04,0.01
1.3101611137390137,0.09,-0.04,0.33
1.3195841312408447,0.12,-0.03,0.59
1.3295602798461914,0.09,-0.03,0.74
1.339482069015503,0.01,0.01,0.79
1.3502631187438965,-0.0,0.01,0.71
1.359762191772461,-0.06,0.05,0.59
1.3700671195983887,-0.11,0.01,0.41
1.3801302909851074,-0.09,-0.07,0.17
1.3973581790924072,-0.05,-0.07,-0.12
1.4034032821655273,0.04,-0.01,-0.4
1.4113740921020508,0.09,0.01,-0.54
1.4197371006011963,0.12,-0.04,-0.51
1.4300081729888916,0.11,-0.06,-0.35
1.439953088760376,0.06,-0.01,-0.09
1.450310230255127,0.01,0.02,0.13
1.4604101181030273,-0.03,0.03,0.2
1.4704689979553223,-0.03,0.08,0.15
1.4806420803070068,-0.01,0.08,0.06
1.497089147567749,-0.05,0.04,-0.02
1.503101110458374,-0.07,0.07,-0.1
1.5105211734771729,-0.09,0.12,-0.19
1.5202131271362305,-0.12,0.1,-0.24
1.5303702354431152,-0.14,0.06,-0.22
1.5404620170593262,-0.09,0.02,-0.16
1.5505642890930176,-0.07,-0.01,-0.09
1.5609781742095947,-0.06,0.06,-0.03
1.5712990760803223,-0.04,0.1,-0.01
1.5810871124267578,-0.03,0.12,-0.0
1.5964469909667969,-0.03,0.1,0.0
1.6024370193481445,-0.04,0.07,-0.02
1.6119880676269531,-0.04,0.06,-0.06
1.6207542419433594,-0.04,0.07,-0.1
1.6309332847595215,-0.05,0.07,-0.13
1.6408920288085938,-0.03,0.1,-0.17
1.6512579917907715,-0.02,0.05,-0.17
1.6612951755523682,0.02,-0.01,-0.14
1.6714460849761963,0.06,-0.05,-0.09
1.6814541816711426,0.13,0.04,-0.03
1.6987199783325195,0.14,0.2,-0.02
1.704756259918213,0.09,0.32,-0.02
1.712697982788086,0.03,0.3,-0.06
