time,wx (rad/s),wy (rad/s),wz (rad/s)
1.003,-0.01,-0.18,0.11
1.007,-0.02,-0.28,0.13
1.013,-0.03,-0.34,0.14
1.015,-0.04,-0.35,0.16
1.019,-0.05,-0.31,0.16
1.023,-0.05,-0.24,0.16
1.029,-0.05,-0.13,0.15
1.032,-0.05,0.04,0.14
1.035,-0.05,0.17,0.12
1.041,-0.06,0.31,0.1
1.043,-0.06,0.44,0.06
1.049,-0.05,0.53,0.02
1.051,-0.04,0.6,-0.04
1.059,-0.04,0.6,-0.07
1.06,-0.04,0.56,-0.1
1.068,-0.06,0.48,-0.13
1.071,-0.09,0.32,-0.14
1.072,-0.11,0.18,-0.14
1.075,-0.13,0.05,-0.14
1.092,-0.14,-0.07,-0.14
1.093,-0.16,-0.16,-0.14
1.094,-0.19,-0.22,-0.14
1.094,-0.19,-0.24,-0.13
1.095,-0.19,-0.24,-0.12
1.099,-0.19,-0.23,-0.12
1.103,-0.19,-0.19,-0.12
1.107,-0.2,-0.12,-0.12
1.113,-0.22,-0.06,-0.12
1.115,-0.23,0,-0.12
1.12,-0.24,0.04,-0.13
1.123,-0.23,0.07,-0.13
1.13,-0.19,0.08,-0.14
1.132,-0.17,0.08,-0.14
1.136,-0.16,0.09,-0.16
1.139,-0.18,0.11,-0.17
1.143,-0.21,0.13,-0.17
1.147,-0.22,0.13,-0.18
1.152,-0.22,0.11,-0.19
1.155,-0.22,0.09,-0.21
1.159,-0.21,0.06,-0.22
1.163,-0.2,0.03,-0.25
1.168,-0.2,0.02,-0.26
1.171,-0.2,0.01,-0.28
1.175,-0.22,-0.02,-0.31
1.182,-0.23,-0.06,-0.35
1.183,-0.24,-0.09,-0.38
1.188,-0.24,-0.12,-0.4
1.195,-0.24,-0.15,-0.41
1.196,-0.24,-0.18,-0.41
1.199,-0.25,-0.23,-0.42
1.203,-0.26,-0.27,-0.43
1.207,-0.29,-0.3,-0.45
1.212,-0.31,-0.32,-0.48
1.216,-0.35,-0.35,-0.51
1.219,-0.37,-0.37,-0.52
1.223,-0.38,-0.39,-0.52
1.229,-0.39,-0.4,-0.52
1.232,-0.39,-0.41,-0.52
1.236,-0.38,-0.4,-0.53
1.239,-0.39,-0.37,-0.53
1.243,-0.4,-0.32,-0.55
1.247,-0.42,-0.25,-0.56
1.251,-0.44,-0.19,-0.57
1.255,-0.44,-0.13,-0.59
1.259,-0.43,-0.1,-0.61
1.263,-0.42,-0.07,-0.62
1.267,-0.41,-0.05,-0.65
1.272,-0.42,-0.03,-0.67
1.275,-0.42,-0.01,-0.72
1.282,-0.42,0,-0.75
1.283,-0.42,-0.01,-0.78
1.287,-0.42,-0.02,-0.81
1.291,-0.42,-0.08,-0.86
1.296,-0.44,-0.14,-0.9
1.299,-0.46,-0.22,-0.94
1.304,-0.47,-0.31,-0.99
1.307,-0.49,-0.39,-1.05
1.313,-0.5,-0.49,-1.12
1.315,-0.5,-0.55,-1.17
1.319,-0.5,-0.58,-1.22
1.323,-0.51,-0.59,-1.27
1.329,-0.51,-0.58,-1.31
1.331,-0.51,-0.54,-1.36
1.335,-0.52,-0.49,-1.39
1.339,-0.51,-0.42,-1.41
1.343,-0.51,-0.34,-1.45
1.35,-0.52,-0.23,-1.49
1.352,-0.52,-0.14,-1.53
1.355,-0.53,-0.06,-1.57
1.359,-0.54,0.01,-1.61
1.369,-0.55,0.06,-1.64
1.371,-0.59,0.1,-1.72
1.372,-0.62,0.11,-1.79
1.376,-0.64,0.09,-1.87
1.38,-0.67,0.07,-1.95
1.383,-0.7,0.01,-2.06
1.387,-0.72,-0.06,-2.14
1.391,-0.74,-0.15,-2.22
1.396,-0.76,-0.24,-2.3
1.399,-0.8,-0.34,-2.38
1.403,-0.87,-0.43,-2.49
1.407,-0.95,-0.47,-2.57
1.412,-1.03,-0.52,-2.64
1.419,-1.13,-0.58,-2.73
1.421,-1.2,-0.62,-2.78
1.423,-1.28,-0.66,-2.8
1.429,-1.34,-0.7,-2.81
1.431,-1.41,-0.74,-2.82
1.435,-1.47,-0.79,-2.84
1.439,-1.56,-0.84,-2.87
1.443,-1.62,-0.84,-2.91
1.448,-1.68,-0.82,-2.97
1.451,-1.73,-0.78,-3.04
1.455,-1.79,-0.74,-3.16
1.459,-1.82,-0.73,-3.25
1.468,-1.83,-0.73,-3.33
1.469,-1.82,-0.73,-3.39
1.471,-1.79,-0.74,-3.45
1.475,-1.74,-0.77,-3.52
1.488,-1.66,-0.8,-3.58
1.49,-1.59,-0.79,-3.6
1.49,-1.51,-0.72,-3.57
1.491,-1.42,-0.6,-3.5
1.499,-1.32,-0.45,-3.33
1.5,-1.23,-0.41,-3.14
1.503,-1.12,-0.43,-2.89
1.507,-1,-0.5,-2.6
1.513,-0.88,-0.58,-2.24
1.515,-0.73,-0.61,-1.66
1.519,-0.57,-0.56,-1.23
1.523,-0.35,-0.38,-0.8
1.529,-0.17,-0.16,-0.34
1.531,-0.05,0.01,0.14
1.536,0.1,0.18,0.76
1.539,0.24,0.34,1.17
1.543,0.36,0.51,1.53
1.548,0.46,0.67,1.83
1.551,0.59,0.8,2.12
1.555,0.7,0.85,2.27
1.559,0.81,0.84,2.36
1.563,0.92,0.8,2.42
1.567,1.04,0.75,2.44
1.572,1.2,0.68,2.44
1.575,1.3,0.59,2.42
1.579,1.4,0.49,2.41
1.584,1.49,0.37,2.4
1.587,1.6,0.22,2.41
1.591,1.66,0.12,2.43
1.601,1.71,0.04,2.46
1.602,1.74,-0.02,2.49
1.603,1.76,-0.08,2.52
1.608,1.8,-0.14,2.53
1.621,1.84,-0.17,2.51
1.623,1.89,-0.19,2.48
1.624,1.94,-0.18,2.46
1.624,1.95,-0.13,2.46
1.628,1.91,-0.03,2.47
1.631,1.85,0.06,2.49
1.635,1.77,0.16,2.49
1.64,1.69,0.26,2.47
1.643,1.62,0.38,2.43
1.647,1.58,0.48,2.37
1.651,1.52,0.58,2.3
1.655,1.44,0.67,2.23
1.659,1.32,0.76,2.17
1.664,1.16,0.86,2.1
1.667,1.07,0.92,2.03
1.671,1.04,0.96,1.96
1.675,1.07,0.96,1.88
1.68,1.11,0.92,1.8
1.683,1.13,0.8,1.76
1.687,1.12,0.68,1.78
1.691,1.09,0.55,1.83
1.696,1.09,0.37,1.89
1.699,1.08,0.24,1.91
1.703,1.05,0.14,1.91
1.707,0.97,0.09,1.93
1.713,0.85,0.1,1.97
1.715,0.7,0.17,2.03
1.72,0.52,0.38,2.1
1.723,0.42,0.6,2.12
1.729,0.36,0.85,2.11
1.732,0.3,1.12,2.08
1.735,0.24,1.36,2.03
1.739,0.18,1.58,1.95
1.743,0.17,1.61,1.88
1.748,0.18,1.47,1.8
1.752,0.22,1.16,1.69
1.755,0.31,0.56,1.47
1.759,0.36,0.08,1.29
1.768,0.35,-0.35,1.14
1.77,0.29,-0.78,1.05
1.772,0.27,-0.93,1.05
1.776,0.24,-1.07,1.11
1.793,0.24,-1.04,1.18
1.795,0.27,-0.87,1.23
1.797,0.32,-0.57,1.25
1.798,0.4,-0.02,1.21
1.798,0.48,0.46,1.13
1.8,0.55,0.95,1.03
1.803,0.59,1.38,0.92
1.807,0.58,1.72,0.82
1.812,0.48,1.94,0.7
1.816,0.34,1.89,0.62
1.819,0.19,1.67,0.56
1.823,0.08,1.28,0.52
1.829,0.06,0.77,0.52
1.832,0.13,-0.01,0.54
1.835,0.19,-0.61,0.57
1.839,0.21,-1.1,0.6
1.843,0.18,-1.44,0.63
1.848,0.06,-1.66,0.66
1.851,-0.03,-1.7,0.68
1.856,-0.1,-1.66,0.71
1.859,-0.12,-1.55,0.73
1.864,-0.12,-1.36,0.77
1.867,-0.16,-0.95,0.81
1.871,-0.2,-0.57,0.85
1.875,-0.22,-0.15,0.88
1.885,-0.22,0.28,0.9
1.886,-0.17,0.68,0.92
1.887,-0.06,1.15,0.9
1.892,0.02,1.42,0.87
1.906,0.08,1.62,0.82
1.908,0.11,1.71,0.75
1.908,0.08,1.64,0.67
1.909,0.07,1.44,0.62
1.915,0.09,1.13,0.59
1.917,0.14,0.73,0.57
1.919,0.19,0.3,0.56
1.923,0.19,-0.22,0.54
1.93,0.15,-0.52,0.52
1.932,0.12,-0.69,0.49
1.936,0.15,-0.75,0.46
1.939,0.19,-0.71,0.44
1.943,0.34,-0.53,0.38
1.948,0.44,-0.3,0.32
1.951,0.52,0,0.25
1.955,0.55,0.34,0.18
1.959,0.56,0.75,0.1
1.964,0.57,0.95,0.05
1.967,0.62,1.04,0.01
1.971,0.65,1.02,-0.01
1.975,0.67,0.92,-0.03
1.98,0.64,0.7,-0.04
1.984,0.59,0.5,-0.04
1.987,0.54,0.27,-0.04
1.991,0.51,0.04,-0.03
1.996,0.48,-0.23,-0.01
2.003,0.42,-0.45,0
2.007,0.38,-0.47,-0.01
2.014,0.34,-0.44,-0.04
2.016,0.29,-0.34,-0.08
2.019,0.27,-0.22,-0.13
2.023,0.25,-0.09,-0.17
2.029,0.22,0.05,-0.21
2.032,0.2,0.18,-0.23
2.035,0.15,0.32,-0.23
2.039,0.12,0.39,-0.22
2.043,0.09,0.41,-0.2
2.051,0.07,0.41,-0.18
2.052,0.03,0.34,-0.16
2.056,0,0.27,-0.14
2.059,-0.04,0.2,-0.13
2.073,-0.09,0.14,-0.11
2.075,-0.14,0.1,-0.08
2.076,-0.19,0.04,-0.05
2.076,-0.22,0.02,-0.03
2.083,-0.25,0.02,-0.02
2.084,-0.27,0.04,-0.03
2.089,-0.29,0.07,-0.05
2.092,-0.32,0.11,-0.09
2.097,-0.34,0.14,-0.12
2.099,-0.35,0.16,-0.14
2.104,-0.35,0.18,-0.16
2.107,-0.36,0.18,-0.18
2.113,-0.37,0.17,-0.2
2.118,-0.39,0.15,-0.21
2.121,-0.43,0.11,-0.23
2.123,-0.44,0.08,-0.24
2.127,-0.47,0,-0.27
2.132,-0.5,-0.05,-0.27
2.136,-0.51,-0.09,-0.28
2.139,-0.52,-0.14,-0.28
2.143,-0.52,-0.17,-0.29
2.147,-0.54,-0.2,-0.31
2.151,-0.55,-0.21,-0.33
2.155,-0.57,-0.2,-0.36
2.159,-0.59,-0.18,-0.39
2.168,-0.61,-0.16,-0.42
2.169,-0.62,-0.17,-0.44
2.171,-0.62,-0.2,-0.45
2.176,-0.6,-0.27,-0.46
2.194,-0.59,-0.3,-0.47
2.196,-0.59,-0.36,-0.48
2.196,-0.6,-0.38,-0.48
2.196,-0.62,-0.39,-0.49
